Element, inv_view_proj.x, inv_view_proj.y, inv_view_proj.z, inv_view_proj.w, inv_view.x, inv_view.y, inv_view.z, inv_view.w, camera_pos.x, camera_pos.y, camera_pos.z, camera_pos.w, skybox_params.x, skybox_params.y, skybox_params.z, skybox_params.w
0, "1.07414
9.43964E-12
-0.003
3.05260E-13", "4.50229E-06
0.57735
0.00161
-1.64076E-13", "0.9019
329.14667
1127.88635
9.999", "-0.0027
0.03571
-0.88719
0.001", "1.00
0.00
-0.00279
0.00", "7.79819E-06
1.00
0.00279
0.00", "0.00279
-0.00279
0.99999
0.00", "0.0902
32.91796
112.79992
1.00", 0.0902, 32.91795, 112.79991, 1.00, 1.00, 1.00, 0.00, 0.00
1, "0.00
0.00
0.00
0.00", "0.00
0.00
0.00
0.00", "0.00
0.00
0.00
0.00", "0.00
0.00
0.00
0.00", ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---
